model,category,k,seed,strategy,n_train,n_eval,n_eval_good,n_eval_defective,accuracy,balanced_accuracy,precision,recall,f1,auroc,confusion_matrix,final_train_loss,first_train_loss,epoch_losses,lora_rank,lora_alpha,lora_target_modules,lora_lr,lora_epochs
clip,bottle,1,42,naive,2,81,19,62,0.4567901234567901,0.6451612903225806,1.0,0.2903225806451613,0.45,0.9949066213921902,"[[19, 0], [44, 18]]",0.08464395999908447,1.5795745849609375,"[1.5795745849609375, 1.4054135084152222, 1.2201786041259766, 1.0222972631454468, 0.8133369088172913, 0.6408854126930237, 0.472377747297287, 0.3663029372692108, 0.3099135160446167, 0.2809543013572693, 0.27620014548301697, 0.2763376235961914, 0.25593334436416626, 0.2453223466873169, 0.20361939072608948, 0.1679425984621048, 0.14480572938919067, 0.11639135330915451, 0.10262051224708557, 0.08464395999908447]",8,16,"q_proj,v_proj",0.0001,20
clip,bottle,1,123,naive,2,81,19,62,0.5925925925925926,0.7338709677419355,1.0,0.46774193548387094,0.6373626373626373,0.9974533106960951,"[[19, 0], [33, 29]]",0.09225328266620636,1.5439448356628418,"[1.5439448356628418, 1.3715922832489014, 1.1831800937652588, 0.9785573482513428, 0.7828211784362793, 0.5848756432533264, 0.42851394414901733, 0.35843706130981445, 0.3044753670692444, 0.3120761513710022, 0.3013603985309601, 0.31007200479507446, 0.303422212600708, 0.2339761108160019, 0.22909769415855408, 0.16428028047084808, 0.14587527513504028, 0.12060640752315521, 0.10341361165046692, 0.09225328266620636]",8,16,"q_proj,v_proj",0.0001,20
clip,bottle,1,456,naive,2,81,19,62,0.7901234567901234,0.5526315789473684,0.7848101265822784,1.0,0.8794326241134752,0.9388794567062818,"[[2, 17], [0, 62]]",0.3299756348133087,1.6323364973068237,"[1.6323364973068237, 1.481440782546997, 1.3094168901443481, 1.1659592390060425, 0.9604452848434448, 0.7922192215919495, 0.6718164682388306, 0.6432743072509766, 0.6013070344924927, 0.5671184659004211, 0.5852575302124023, 0.6110917329788208, 0.6187087297439575, 0.6024723052978516, 0.529610276222229, 0.5002834796905518, 0.43346092104911804, 0.3773183822631836, 0.3528062701225281, 0.3299756348133087]",8,16,"q_proj,v_proj",0.0001,20
clip,bottle,5,42,naive,10,73,15,58,0.7945205479452054,0.8706896551724138,1.0,0.7413793103448276,0.8514851485148515,0.9885057471264369,"[[15, 0], [15, 43]]",0.13956039026379585,1.4826928973197937,"[1.4826928973197937, 1.5791272222995758, 0.8570774793624878, 0.594317615032196, 0.34255464375019073, 0.34010402858257294, 0.37085698544979095, 0.8405835330486298, 0.5626617819070816, 0.3099195882678032, 0.26217545941472054, 0.23793429136276245, 0.3383433669805527, 0.17727111279964447, 0.22814534604549408, 0.2781330645084381, 0.3125915378332138, 0.23651540279388428, 0.19803129136562347, 0.13956039026379585]",8,16,"q_proj,v_proj",0.0001,20
clip,bottle,5,123,naive,10,73,15,58,0.6438356164383562,0.7758620689655172,1.0,0.5517241379310345,0.7111111111111111,0.9931034482758622,"[[15, 0], [26, 32]]",0.08068307302892208,1.852529764175415,"[1.852529764175415, 1.1821088790893555, 0.7238892763853073, 0.5726881325244904, 0.38439300656318665, 0.5061670243740082, 0.3757707178592682, 0.363765113055706, 0.4240783005952835, 0.25702810287475586, 0.24524089694023132, 0.2086857557296753, 0.23047585785388947, 0.1940830498933792, 0.14830119162797928, 0.17497383803129196, 0.1319742202758789, 0.13216131180524826, 0.11300200968980789, 0.08068307302892208]",8,16,"q_proj,v_proj",0.0001,20
clip,bottle,5,456,naive,10,73,15,58,0.7808219178082192,0.8620689655172413,1.0,0.7241379310344828,0.84,0.9919540229885058,"[[15, 0], [16, 42]]",0.23509226739406586,1.6069327592849731,"[1.6069327592849731, 1.231705904006958, 0.9982723593711853, 0.5496661812067032, 0.6254523694515228, 0.6112613677978516, 0.54392209649086, 0.5092038363218307, 0.41243475675582886, 0.5021199882030487, 0.4961386024951935, 0.40048451721668243, 0.3866007924079895, 0.3715112954378128, 0.31654903292655945, 0.3008884787559509, 0.29103511571884155, 0.2676314264535904, 0.39250878244638443, 0.23509226739406586]",8,16,"q_proj,v_proj",0.0001,20
clip,bottle,10,42,naive,20,63,10,53,0.873015873015873,0.9245283018867925,1.0,0.8490566037735849,0.9183673469387755,0.9943396226415093,"[[10, 0], [8, 45]]",0.06432105600833893,1.4798300663630168,"[1.4798300663630168, 0.9251906871795654, 0.5149912238121033, 0.4342902600765228, 0.5422673523426056, 0.5398525098959605, 0.4280620714028676, 0.33286787072817486, 0.3050979971885681, 0.3035624921321869, 0.2787599166234334, 0.26342757046222687, 0.23092485964298248, 0.1850984295209249, 0.16111029436190924, 0.1612466722726822, 0.11030800143877666, 0.097573588291804, 0.07924274106820424, 0.06432105600833893]",8,16,"q_proj,v_proj",0.0001,20
clip,bottle,10,123,naive,20,63,10,53,0.8095238095238095,0.8867924528301887,1.0,0.7735849056603774,0.8723404255319149,1.0,"[[10, 0], [12, 41]]",0.13130246351162592,1.2378713637590408,"[1.2378713637590408, 0.8961874743302664, 0.5774789353211721, 0.42076295614242554, 0.5604192018508911, 0.5157407224178314, 0.4344273507595062, 0.3421477476755778, 0.3694215416908264, 0.3397115667661031, 0.31124718983968097, 0.2970833480358124, 0.2553589840730031, 0.26702800393104553, 0.22353320320447287, 0.19574348628520966, 0.2010171264410019, 0.1466490924358368, 0.11796459555625916, 0.13130246351162592]",8,16,"q_proj,v_proj",0.0001,20
clip,bottle,10,456,naive,20,63,10,53,0.9206349206349206,0.9528301886792453,1.0,0.9056603773584906,0.9504950495049505,0.9962264150943396,"[[10, 0], [5, 48]]",0.10706926758090655,1.536470651626587,"[1.536470651626587, 1.0168315172195435, 0.5317598680655161, 0.4537122845649719, 0.6370485027631124, 0.5413454473018646, 0.4647963047027588, 0.4049205581347148, 0.35453877846399945, 0.34452513853708905, 0.3346266746520996, 0.27726460496584576, 0.26198498407999676, 0.23744255801041922, 0.2215533753236135, 0.19190447280804315, 0.196868767340978, 0.15697543571392694, 0.11493384838104248, 0.10706926758090655]",8,16,"q_proj,v_proj",0.0001,20
clip,cable,1,42,naive,2,148,57,91,0.6418918918918919,0.5744168112589165,0.6583333333333333,0.8681318681318682,0.7488151658767772,0.6550992866782341,"[[16, 41], [12, 79]]",0.04356233775615692,1.0628823041915894,"[1.0628823041915894, 0.9083009362220764, 0.7576075196266174, 0.6180605888366699, 0.4944426417350769, 0.41888636350631714, 0.3436862528324127, 0.30730190873146057, 0.29047659039497375, 0.2582998275756836, 0.22188511490821838, 0.18693916499614716, 0.14917774498462677, 0.12416286021471024, 0.10226532816886902, 0.08077023923397064, 0.06915216892957687, 0.058977097272872925, 0.05235133320093155, 0.04356233775615692]",8,16,"q_proj,v_proj",0.0001,20
